id,name,slug,price,imageUrl,category,description,allergenFree,allergens
28,Black Forest,black-forest,10.5,/Lumiere/Personal Desserts/Black Forest.png,personal-desserts,"Dark Chocolate Mousse, Cherry Compote, White Chocolate Insert",,"has Dairy, has Nuts, has Gluten, has Eggs"
29,Personal Heart,personal-heart,10.5,/Lumiere/Personal Desserts/Personal Heart.png,personal-desserts,"Raspberry Rose Mousse, Lychee Insert",,"has Nuts, has Dairy, has Gluten, has Eggs"
30,Creme Berry Tart,creme-berry-tart,9,/Lumiere/Personal Desserts/Creme Berry Tart.png,personal-desserts,"Almond Short Crust, Vanilla Crème Pâtissier, Fresh Ontario Berries",,"has Nuts, has Dairy, has Gluten, has Eggs"
32,Almond Croissant,almond-croissant,6.85,/Lumiere/Pastry/Almond Criossant.png,pastries,,,
33,Double Milk Chocolate Croissant,double-milk-chocolate-croissant,6.85,/Lumiere/Pastry/Double Chocolate Criossant.png,pastries,,,
34,Butter Croissant,butter-croissant,4.5,/Lumiere/Pastry/Butter Croissant.png,pastries,,,
35,Salted Caramel Croissant,salted-caramel-croissant,6.85,/Lumiere/Pastry/Salted Caramel Criossant.png,pastries,,,
36,Raspberry Cheesecake Croissant,raspberry-cheesecake-croissant,6.85,/Lumiere/Pastry/Raspberry Cheesecake Criossant.png,pastries,,,
37,Pistachio Croissant,pistachio-croissant,6.85,/Lumiere/Pastry/Pistachio Croissant.png,pastries,,,
38,Creme Diplomat Croissant,creme-diplomat-croissant,6.85,/Lumiere/Pastry/DIplomat Criossant.png,pastries,,,
39,Chocolatine,chocolatine,5.5,/Lumiere/Pastry/Chocolatin.png,pastries,,,
40,Sweet Cheese Danish,sweet-cheese-danish,5.1,/Lumiere/Pastry/Cheese Danish.png,pastries,,,
41,Cherry Danish,cherry-danish,5.75,/Lumiere/Pastry/Fruit Danish.png,pastries,,,
42,Cinnamon Roll,cinnamon-roll,5.25,/Lumiere/Pastry/Cinnamon Lemon Roll.png,pastries,,,
44,Chocolate Chip Croissant,chocolate-chip-croissant,6.85,/Lumiere/Pastry/Chocolate Chip Croissant.png,pastries,,,
45,Choco Chip & Hazelnut Cookies,choco-chip-hazelnut-cookies,9.75,,bakery-shelf,,,"has Nuts, has Gluten, has Eggs, has Dairy"
46,Oatmeal Cookies,oatmeal-cookies,9.75,,bakery-shelf,,Nut Free,"has Gluten, has Eggs, has Dairy"
47,Black Sesame Choco Chip,black-sesame-choco-chip,9.75,,bakery-shelf,,Nut Free,"has Gluten, has Eggs, has Dairy"
48,Halva Cookies,halva-cookies,9.75,,bakery-shelf,,Nut Free,"has Gluten, has Eggs, has Dairy"
49,Baklava Tart,baklava-tart,25,/images/bakery-shelf/Baklava Tart.png,bakery-shelf,,,
50,Chocolate Nemesis,chocolate-nemesis,25,/baker_shelf/Chocolate Nemesis.png,bakery-shelf,,,
51,Meringues,meringues,6.75,,bakery-shelf,,,
52,Lumiere Marshmallows,lumiere-marshmallows,10.5,,bakery-shelf,,"Nut Free, Gluten Free",
53,Hazelnut Dacquoise Square,hazelnut-dacquoise-square,12,,bakery-shelf,,,
54,Crincle Cookie,crincle-cookie,,,bakery-shelf,,"Nut Free, Dairy Free","has Gluten, has Eggs"
55,Hazelnut Cookie,hazelnut-cookie,,,bakery-shelf,,,"has Nuts, has Gluten, has Eggs, has Dairy"
56,Sweetheart,sweetheart,,,bakery-shelf,,Nut Free,"has Gluten, has Eggs, has Dairy"
57,Tartine,tartine,7,,bread,,,
58,Rye & Walnut,rye-walnut,7.5,/Lumiere/Breads/Rye Sourdough.png,bread,,,
59,Whole Wheat & Seeds,whole-wheat-seeds,7.5,/Lumiere/Breads/Multigrain Sourdough.png,bread,,,
60,Tomato & Garlic,tomato-garlic,7.5,/Lumiere/Breads/Sun-dried tomatoes & Garlic Sourdough.png,bread,,,
61,Greek Olive,greek-olive,7.5,/Lumiere/Breads/Olive Sourdough.png,bread,,,
62,Japanese Milk Bread,japanese-milk-bread,6.5,,bread,,,
63,French Baguette,french-baguette,3.45,,bread,,,
